row_id,median_price,uncertainty_width,uncertainty_score,base_spread,raw_uncertainty_penalty,uncertainty_penalty,hit_max_uncertainty_penalty,total_spread,buy_offer,sale_date,actual_price,price_per_sqft,zipcode,bedrooms,bathrooms,sqft_living,sqft_lot,lot_to_living_ratio,waterfront,view,condition,grade,yr_built,home_age,was_renovated,lat,long,offer_to_q50,offer_discount_to_actual,cap_excess_penalty
17290,734042.3708139115,331136.88381022646,0.45111412770772275,0.05,0.0676671191561584,0.0676671191561584,False,0.1176671191561584,647669.719701682,2015-03-10,762450.0,296.67315175097275,98005,4,1.75,2570,8640,3.3618677042801557,0,0,4,8,1958,57,0,47.5956,-122.172,0.8823328808438415,0.15054138671167683,0.0
17291,425847.0258573755,187756.2222568873,0.44090063064047447,0.05,0.06613509459607117,0.06613509459607117,False,0.11613509459607117,376391.24122597364,2015-03-10,390000.0,237.8048780487805,98125,3,2.5,1640,6991,4.26280487804878,0,0,3,7,1967,48,0,47.7255,-122.327,0.8838649054039288,0.03489425326673423,0.0
17292,352588.5340461903,84749.63664388767,0.2403641311625442,0.05,0.03605461967438163,0.03605461967438163,False,0.08605461967438163,322246.6618472976,2015-03-10,339000.0,144.25531914893617,98023,3,2.0,2350,8459,3.5995744680851063,0,0,3,9,1989,26,0,47.3043,-122.349,0.9139453803256182,0.04941987655664415,0.0
17293,258806.37949920766,128613.67142509791,0.49694938615487905,0.05,0.07454240792323186,0.07454240792323186,False,0.12454240792323186,226574.0098104826,2015-03-10,194000.0,110.22727272727273,98003,4,2.0,1760,7700,4.375,0,0,4,7,1962,53,0,47.3299,-122.318,0.8754575920767681,-0.16790726706434334,0.0
17294,374129.5556963737,486593.7036688025,1.3006021477322138,0.05,0.19509032215983207,0.1,True,0.15000000000000002,318010.12234191765,2015-03-10,641500.0,641.5,98146,1,1.0,1000,9084,9.084,1,3,3,7,1950,65,0,47.5007,-122.382,0.8500000000000001,0.5042710485706662,0.09509032215983207
17295,469746.47598330694,164507.25121995725,0.3502043328278278,0.05,0.05253064992417417,0.05253064992417417,False,0.10253064992417418,421583.064501148,2015-03-10,420000.0,365.2173913043478,98116,3,1.0,1150,5120,4.452173913043478,0,0,4,6,1946,69,0,47.5588,-122.392,0.8974693500758258,-0.0037692011932095593,0.0
17296,705680.6195610011,135185.4704818722,0.19156749772435316,0.05,0.028735124658652973,0.028735124658652973,False,0.07873512465865298,650118.7680106702,2015-03-10,610000.0,204.6979865771812,98053,4,2.5,2980,5896,1.9785234899328858,0,0,3,8,2001,14,0,47.6872,-122.036,0.921264875341347,-0.06576847214863957,0.0
17297,1113823.627969428,938091.8103083783,0.8422265309801157,0.05,0.12633397964701734,0.1,True,0.15000000000000002,946750.0837740138,2015-03-10,1250000.0,378.7878787878788,98040,4,2.25,3300,15375,4.659090909090909,0,3,3,8,1933,82,1,47.526,-122.225,0.85,0.24259993298078897,0.026333979647017336
17298,594162.7561838649,152791.85638024576,0.2571548869228754,0.05,0.03857323303843131,0.03857323303843131,False,0.08857323303843131,541535.8399176347,2015-03-10,602000.0,412.32876712328766,98103,3,3.25,1460,1367,0.9363013698630137,0,0,3,8,2008,7,0,47.6485,-122.334,0.9114267669615685,0.10043880412353035,0.0
17299,1443889.1829801907,1231227.0934249447,0.8527157817497386,0.05,0.1279073672624608,0.1,True,0.15000000000000002,1227305.805533162,2015-03-10,1500000.0,482.3151125401929,98033,3,3.0,3110,9015,2.8987138263665595,0,4,4,10,1980,35,0,47.6624,-122.202,0.85,0.1817961296445586,0.02790736726246079
