row_id,scenario,shock_factor,actual_price,stressed_sale_price,sale_week,q10,q50,q90,baseline_buy_offer,baseline_total_spread,feedback_multiplier_used,feedback_sample_count,feedback_q50,feedback_buy_offer,baseline_q50_error,feedback_q50_error,baseline_abs_pct_error,feedback_abs_pct_error,baseline_offer_to_stressed_sale,feedback_offer_to_stressed_sale,baseline_overpay,feedback_overpay,offer_change,offer_change_pct,sale_ratio,estimated_operating_cost,baseline_net_pnl_proxy,feedback_net_pnl_proxy,baseline_roi_proxy,feedback_roi_proxy,baseline_negative_pnl,feedback_negative_pnl
17290,downside_5pct,0.95,762450.0,724327.5,2015-03-09,604891.8462479524,734042.3708139115,936028.7300581789,647669.719701682,0.1176671191561584,1.0,0,734042.3708139115,647669.719701682,-9714.870813911548,-9714.870813911548,0.013412262842307586,0.013412262842307586,0.8941669613561296,0.8941669613561296,False,False,0.0,0.0,0.9867652451681507,28973.100000000002,47684.68029831801,47684.68029831801,0.0736249956540838,0.0736249956540838,False,False
17291,downside_5pct,0.95,390000.0,370500.0,2015-03-09,335738.2042248369,425847.0258573755,523494.4264817242,376391.24122597364,0.11613509459607117,1.0,0,425847.0258573755,376391.24122597364,-55347.02585737553,-55347.02585737553,0.14938468517510264,0.14938468517510264,1.0159007860350167,1.0159007860350167,True,True,0.0,0.0,0.8700307328765698,14820.0,-20711.241225973645,-20711.241225973645,-0.055025832053140836,-0.055025832053140836,True,True
17292,downside_5pct,0.95,339000.0,322050.0,2015-03-09,301486.3048251547,352588.5340461903,386235.9414690424,322246.6618472976,0.08605461967438163,1.0,0,352588.5340461903,322246.6618472976,-30538.534046190325,-30538.534046190325,0.09482544339757902,0.09482544339757902,1.000610656256164,1.000610656256164,True,True,0.0,0.0,0.9133876144645428,12882.0,-13078.661847297626,-13078.661847297626,-0.040585872239369186,-0.040585872239369186,True,True
17293,downside_5pct,0.95,194000.0,184300.0,2015-03-09,185242.92734795721,258806.37949920766,313856.5987730551,226574.0098104826,0.12454240792323186,1.0,0,258806.37949920766,226574.0098104826,-74506.37949920766,-74506.37949920766,0.40426684481393194,0.40426684481393194,1.2293760705940455,1.2293760705940455,True,True,0.0,0.0,0.7121153673128998,7372.0,-49646.00981048259,-49646.00981048259,-0.21911608419698667,-0.21911608419698667,True,True
17294,downside_5pct,0.95,641500.0,609425.0,2015-03-09,247519.52191275542,374129.5556963737,734113.225581558,318010.12234191765,0.15000000000000002,1.0,0,374129.5556963737,318010.12234191765,235295.4443036263,235295.4443036263,0.38609417779649063,0.38609417779649063,0.521819948872983,0.521819948872983,False,False,0.0,0.0,1.6289143445661942,24377.0,267037.87765808235,267037.87765808235,0.839715024451231,0.839715024451231,False,False
17295,downside_5pct,0.95,420000.0,399000.0,2015-03-09,349750.3201956424,469746.47598330694,514257.57141559967,421583.064501148,0.10253064992417418,1.0,0,469746.47598330694,421583.064501148,-70746.47598330694,-70746.47598330694,0.17730946361731062,0.17730946361731062,1.0565991591507469,1.0565991591507469,True,True,0.0,0.0,0.8493943443956331,15960.0,-38543.06450114801,-38543.06450114801,-0.09142460346872651,-0.09142460346872651,True,True
17296,downside_5pct,0.95,610000.0,579500.0,2015-03-09,619194.3842371426,705680.6195610011,754379.8547190148,650118.7680106702,0.07873512465865298,1.0,0,705680.6195610011,650118.7680106702,-126180.61956100108,-126180.61956100108,0.21774049967385864,0.21774049967385864,1.121861549630147,1.121861549630147,True,True,0.0,0.0,0.8211930212289277,23180.0,-93798.7680106702,-93798.7680106702,-0.14427943419890735,-0.14427943419890735,True,True
17297,downside_5pct,0.95,1250000.0,1187500.0,2015-03-09,723669.3233276474,1113823.627969428,1661761.1336360257,946750.0837740138,0.15000000000000002,1.0,0,1113823.627969428,946750.0837740138,73676.37203057203,73676.37203057203,0.062043260657323816,0.062043260657323816,0.7972632284412747,0.7972632284412747,False,False,0.0,0.0,1.0661472518453292,47500.0,193249.9162259862,193249.9162259862,0.20411924914296004,0.20411924914296004,False,False
17298,downside_5pct,0.95,602000.0,571900.0,2015-03-09,490089.9911973232,594162.7561838649,642881.847577569,541535.8399176347,0.08857323303843131,1.0,0,594162.7561838649,541535.8399176347,-22262.756183864898,-22262.756183864898,0.03892770796269435,0.03892770796269435,0.9469065219752312,0.9469065219752312,False,False,0.0,0.0,0.9625308790358182,22876.0,7488.16008236527,7488.16008236527,0.01382763527434156,0.01382763527434156,False,False
17299,downside_5pct,0.95,1500000.0,1425000.0,2015-03-09,1018845.0127619532,1443889.1829801907,2250072.106186898,1227305.805533162,0.15000000000000002,1.0,0,1443889.1829801907,1227305.805533162,-18889.18298019073,-18889.18298019073,0.013255567003642617,0.013255567003642617,0.8612672319530962,0.8612672319530962,False,False,0.0,0.0,0.9869178443866423,57000.0,140694.19446683791,140694.19446683791,0.11463662424844313,0.11463662424844313,False,False
